serial,source_text,plagiarized_text,label
45,"Drought occurs when there is a prolonged period of low rainfall and water shortage.","Data analysis can find patterns that help make better decisions.",0
46,"Four noble gases include helium, neon, argon, and krypton, which are very unreactive.","Four noble gases include helium, neon, argon, and krypton, which are very unreactive.",1
47,"Inductive reasoning draws general conclusions from specific examples and observations.","Inductive reasoning draws general conclusions from specific examples and observations.",1
48,"Nash equilibrium examines social structures in game theory for better understanding and in their respective fields.","Nash equilibrium examines social structures in game theory for better understanding.",0
49,"Encryption algorithms scramble data so only authorized users can read the information.","Encryption algorithms scramble data so only authorized users can read the information.",1
50,"Java and Python are popular programming languages used in software development.","Java and Python are popular programming languages used in software development.",1
51,"Quantum tunneling allows particles to pass through energy barriers they normally could not.","Quantum tunneling allows particles to pass through energy barriers they normally could not.",1
52,"Electrolysis is a process where electricity splits water into hydrogen and oxygen.","Coal is a fossil fuel that forms from ancient plant remains under pressure.",0
53,"Herbal medicine uses plant extracts and natural substances for healing purposes.","Herbal medicine uses plant extracts and natural substances for healing purposes.",1
54,"Sociology examines how social groups and institutions influence human behavior.","Sociology examines how social groups and institutions influence human behavior.",1
55,"The Falkirk Wheel is a rotating boat lift in Scotland that connects two canals.","Dinosaurs went extinct at the end of the Cretaceous period about 65 million years ago.",0
56,"Urbanization influences population growth and infrastructure development in cities.","Urbanization influences population growth and infrastructure development in cities.",1
57,"Eight bits make a byte in digital memory systems, which store information electronically.","Eucalyptus trees are native to Australia, known for their aromatic leaves.",0
58,"Sunspots are dark areas on the Sun caused by magnetic activity near sun surface.","Sunspots are dark areas on the Sun caused by magnetic activity near the surface.",1
59,"Photosynthesis primarily occurs in the chloroplasts of plant cells, which contain chlorophyll pigment.","Photosynthesis primarily occurs in the chloroplasts of plant cells, which contain chlorophyll pigment.",1
60,"Free market capitalism relies on supply and demand to set prices with minimal government intervention.","The Sun generates energy by fusing hydrogen atoms into helium in its core.",0
61,"Tropical rainforests have high biodiversity and dense vegetation, typically found near the equator.","Tropical rainforests have high biodiversity and dense vegetation, typically found near the equator.",1
62,"An invasive species can disrupt local ecosystems by outcompeting native organisms.","An invasive species can disrupt local ecosystems by outcompeting native organisms.",1
63,"Basalt is an igneous rock formed from cooling lava on Earth's surface.","A sine wave is a smooth periodic oscillation commonly found in sound waves or alternating current.",0
64,"Protein synthesis is a process where cells create new proteins from amino acids.","Protein synthesis is a process where cells create new proteins from amino acids.",1
65,"Apparent weight changes in elevators are explained by Newton's laws of motion.","Apparent weight changes in elevators are explained by Newton's laws of motion.",1
66,"Internet privacy improves network security for scientific research in the digital age.","Internet privacy improves network security for scientific research and with computing devices.",0
67,"Algorithm efficiency affects how quickly a computer can solve a problem.","Algorithm efficiency affects how quickly a computer can solve a problem.",1
68,"The ozone layer in the atmosphere protects Earth from harmful ultraviolet radiation.","Anabolism is the set of metabolic pathways that build complex molecules from simpler ones.",0
69,"Stalactites hang from cave ceilings while stalagmites grow from cave floors.","Stalactites hang from cave ceilings while stalagmites grow from cave floors.",1
70,"The surface tension of water allows small insects to walk on water without sinking.","The surface tension of water allows small insects to walk on water without sinking.",1
71,"Fibonacci sequence appears in many natural phenomena such as pinecones and flower petals.","Fibonacci sequence appears in many natural phenomena such as pinecones and flower petals.",1
72,"Renaissance literature includes works by Dante, Petrarch, and Shakespeare in historical context.","Magnets create a magnetic field that exerts forces on other magnets or magnetic materials.",0
73,"Cultural diversity can expose people to new ideas and traditions in many societies.","Cultural diversity can expose people to new ideas and traditions in many societies.",1
74,"Magnetic resonance imaging is a technique that uses magnetic fields to visualize inside the human body.","A rainbow forms when sunlight is dispersed by water droplets in the atmosphere.",0
75,"Risk assessment involves identifying hazards and evaluating potential impacts on safety.","Tidal waves are generated by underwater earthquakes or volcanic eruptions.",0
76,"A suspension bridge uses cables to support its roadway between towers.","A suspension bridge uses cables to support its roadway between towers.",1
77,"Electronegativity indicates an atom's ability to attract electrons in a chemical bond.","Electronegativity indicates an atom's ability to attract electrons in a chemical bond.",1
78,"Accelerometers measure changes in velocity and orientation of objects in motion.","Accelerometers measure changes in velocity and orientation of objects in motion.",1
79,"Primate studies reveal evolutionary relationships between humans and other apes.","Primate studies reveal evolutionary relationships between humans and other apes.",1
80,"Randomized controlled trials are experiments where subjects are randomly assigned to treatments.","Randomized controlled trials are experiments where subjects are randomly assigned to treatments.",1
81,"Photosynthetic bacteria can produce oxygen as a byproduct of converting sunlight to energy.","Photosynthetic bacteria can produce oxygen as a byproduct of converting sunlight to energy.",1
82,"Neuroscience studies the brain's structure and function at molecular and cellular levels.","Radiation therapy uses high-energy particles or waves to destroy cancer cells.",0
83,"Black holes bend space and time so strongly that not even light can escape their gravity.","Black holes bend space and time so strongly that not even light can escape their gravity.",1
84,"Cotton farming requires warm temperatures and plenty of sunlight to grow the crop.","French chemist Lavoisier developed the law of conservation of mass in chemical reactions.",0
85,"Vaccines contain antigens that prepare the immune system to fight specific diseases.","Mitochondria are the powerhouses of the cell where respiration produces energy.",0
86,"Tundra biomes have low temperatures and little precipitation, with lichens and mosses.","Tundra biomes have low temperatures and little precipitation, with lichens and mosses.",1
87,"Financial inflation erodes currency value and can affect purchasing power over time.","Financial inflation erodes currency value and can affect purchasing power over time.",1
88,"Cotton is harvested from fields and ginned to separate fibers from seeds.","Cognitive psychology explores how memory and perception work in the brain.",0
89,"A virus requires living cells to replicate and reproduce its genetic material.","The Higgs boson was discovered in 2012 by experiments at CERN's Large Hadron Collider.",0
90,"DNA replication ensures genetic information is passed during cell division.","DNA replication ensures genetic information is passed during cell division.",1
91,"An isomer has the same molecular formula as another compound but a different structure.","An isomer has the same molecular formula as another compound but a different structure.",1
92,"Hybrid vehicles use both an internal combustion engine and an electric motor.","Aerobic exercises like running and swimming greatly benefit heart health.",0
93,"The Pythagorean theorem relates the sides of a right triangle.","The Pythagorean theorem relates the sides of a right triangle.",1
94,"Tropical cyclones are storms that form over warm ocean waters near the equator.","Tropical cyclones are storms that form over warm ocean waters near the equator.",1
95,"Economic sanctions impact trade by limiting a country's ability to export or import goods.","Hypotheses are tested in experiments or observational studies to determine their validity.",0
96,"Kosher dietary laws in Judaism include restrictions on certain types of food and preparation.","Archimedes' principle relates buoyancy of objects in fluids to displaced volume.",0
97,"Tornadoes often occur in rotating thunderstorms when warm air collides with cold air.","Antibiotics are drugs that kill or inhibit bacteria to treat infections.",0
98,"Caching improves system performance by keeping frequently used data in fast storage.","Caching improves system performance by keeping frequently used data in fast storage.",1
99,"Chlorophyll is the pigment that gives plants their green color and aids in photosynthesis.","Chlorophyll is the pigment that gives plants their green color and aids in photosynthesis.",1
100,"Light refraction describes atomic structure in everyday life and around the world.","Cultural anthropology is a principle in understanding different belief systems in many cultures.",1
101,"Substance abuse affects brain chemistry and can lead to addiction over time.","The large Hadron Collider accelerates particles close to the speed of light.",0
102,"The Fibonacci sequence appears in many natural patterns and plant structures.","The Fibonacci sequence appears in many natural patterns and plant structures.",1
103,"Entropy is a measure of disorder in thermodynamic systems that always increases in an isolated system.","Entropy is a measure of disorder in thermodynamic systems that always increases in an isolated system.",1
104,"The Richter scale is used to measure the strength of earthquakes.","The Richter scale is used to measure the strength of earthquakes.",1
105,"Adaptive immunity develops after exposure to specific pathogens and retains memory cells.","Adaptive immunity develops after exposure to specific pathogens and retains memory cells.",1
106,"Radiocarbon dating measures age by comparing carbon-14 to carbon-12 ratios in organic materials.","The Space Shuttle carried astronauts into low Earth orbit until its retirement in 2011.",0
107,"Linear regression finds the best-fit line through a set of data points in a scatter plot.","Linear regression finds the best-fit line through a set of data points in a scatter plot.",1
108,"Mercury, Venus, Mars, Jupiter, and other planets orbit the Sun in our solar system.","Mercury, Venus, Mars, Jupiter, and other planets orbit the Sun in our solar system.",1
109,"Smartphones incorporate computing, communication, and camera technology into a handheld device.","Smartphones incorporate computing, communication, and camera technology into a handheld device.",1
110,"Multitasking on a single-core processor can slow down computing performance.","Multitasking on a single-core processor can slow down computing performance.",1
111,"Flaring volcanoes release ash and gases high into the atmosphere during eruptions.","Flaring volcanoes release ash and gases high into the atmosphere during eruptions.",1
112,"Hemoglobin in blood transports oxygen from lungs to tissues throughout the body.","Hemoglobin in blood transports oxygen from lungs to tissues throughout the body.",1
113,"There was a red sunset after the volcanic ash blew through the sky.","DNA mutagenesis can introduce new traits in organisms.",0
114,"Renewable resources can be replenished naturally, unlike finite fossil fuels.","Renewable resources can be replenished naturally, unlike finite fossil fuels.",1
115,"Lymphatic vessels collect excess fluid from tissues and return it to the bloodstream.","Lymphatic vessels collect excess fluid from tissues and return it to the bloodstream.",1
116,"Ring of Fire is a zone of frequent earthquakes and volcanoes around the Pacific Ocean.","Ring of Fire is a zone of frequent earthquakes and volcanoes around the Pacific Ocean.",1
117,"Autotrophs produce their own food through processes like photosynthesis or chemosynthesis.","Autotrophs produce their own food through processes like photosynthesis or chemosynthesis.",1
118,"Macroeconomic policy can be used to control inflation and unemployment levels.","Macroeconomic policy can be used to control inflation and unemployment levels.",1
119,"The greenhouse effect warms Earth as greenhouse gases trap infrared radiation.","The greenhouse effect warms Earth as greenhouse gases trap infrared radiation.",1
120,"Nuclear fusion powers the Sun by combining hydrogen atoms into helium.","Nuclear fusion powers the Sun by combining hydrogen atoms into helium.",1
121,"Even and odd parity bits can detect single-bit errors in data transmission.","Even and odd parity bits can detect single-bit errors in data transmission.",1
122,"Chemical bonds form when atoms share or transfer electrons.","Chemical bonds form when atoms share or transfer electrons.",1
123,"A gravitational lens bends light around a massive object due to gravity.","A gravitational lens bends light around a massive object due to gravity.",1
124,"The pacemaker regulates heart rhythm through electrical pulses in cardiac cells.","The pacemaker regulates heart rhythm through electrical pulses in cardiac cells.",1
125,"Periodic table arranges elements by increasing atomic number and similar properties.","Periodic table arranges elements by increasing atomic number and similar properties.",1
126,"The First World War began in 1914 after the assassination of Archduke Ferdinand.","The Wright brothers flew the first powered airplane in 1903.",0
127,"Protein molecules fold into specific shapes to perform their biological functions.","Protein molecules fold into specific shapes to perform their biological functions.",1
128,"Cellular respiration in organisms converts glucose into usable energy for cellular processes.","Cellular respiration in organisms converts glucose into usable energy for cellular processes.",1
129,"Females typically have two X chromosomes while males have one X and one Y.","The Alps mountain range is the highest in Europe.",0
130,"The moon reflects sunlight, which is why it shines at night in the sky.","The moon reflects sunlight, which is why it shines at night in the sky.",1
131,"Amphibians like frogs live both in water and on land during their lifecycle.","Amphibians like frogs live both in water and on land during their lifecycle.",1
132,"DNA's double helix shape was discovered by Watson and Crick in 1953.","DNA's double helix shape was discovered by Watson and Crick in 1953.",1
133,"Statistical inference draws conclusions about populations based on sample data in research.","Statistical inference draws conclusions about populations based on sample data in research.",1
134,"Heated gases rise and cooler gases sink, causing convection currents in fluids.","Heated gases rise and cooler gases sink, causing convection currents in fluids.",1
135,"Soft skills such as communication and teamwork are important in many jobs.","Soft skills such as communication and teamwork are important in many jobs.",1
136,"Chlorophyll is found in plants and allows them to use sunlight for energy.","Chlorophyll is found in plants and allows them to use sunlight for energy.",1
137,"Current flows through a circuit from positive to negative terminals of a battery.","Current flows through a circuit from positive to negative terminals of a battery.",1
138,"Atherosclerosis is a disease where plaque builds up in arteries restricting blood flow.","Atherosclerosis is a disease where plaque builds up in arteries restricting blood flow.",1
139,"Wormholes are hypothetical tunnels connecting distant parts of spacetime in the universe.","Wormholes are hypothetical tunnels connecting distant parts of spacetime in the universe.",1
140,"Cosmology studies the origins and evolution of the universe as a whole.","Cultural anthropology studies human societies and cultural patterns across the world.",0
141,"Diffraction occurs when waves, such as sound or light, bend around obstacles.","Diffraction occurs when waves, such as sound or light, bend around obstacles.",1
142,"The electron has a negative charge and orbits the atomic nucleus.","The electron has a negative charge and orbits the atomic nucleus.",1
143,"Body language can convey attitudes or emotions without spoken words in communication.","Body language can convey attitudes or emotions without spoken words in communication.",1
144,"Biodiversity hotspots are regions with unusually high species diversity under threat.","Biodiversity hotspots are regions with unusually high species diversity under threat.",1
145,"Caps lock key makes computer input letters all uppercase when held down.","The San Andreas fault is a major tectonic boundary in California.",0
146,"Quantum superposition allows a quantum system to be in multiple states simultaneously.","Quantum superposition allows a quantum system to be in multiple states simultaneously.",1
147,"In calculus, the derivative represents the rate of change of a function.","In calculus, the derivative represents the rate of change of a function.",1
148,"Market equilibrium occurs when supply equals demand in a competitive market.","Market equilibrium occurs when supply equals demand in a competitive market.",1
149,"Synapses transmit signals between neurons using neurotransmitters.","Synapses transmit signals between neurons using neurotransmitters.",1
150,"Public speaking anxiety can be reduced by practice and preparation.","Public speaking anxiety can be reduced by practice and preparation.",1
151,"Developmental psychology investigates how people change from infancy through adulthood.","Developmental psychology investigates how people change from infancy through adulthood.",1
152,"The ozone hole over Antarctica grew larger during the late 20th century.","The ozone hole over Antarctica grew larger during the late 20th century.",1
153,"Economic growth typically measured as the annual percentage increase in GDP.","Economic growth typically measured as the annual percentage increase in GDP.",1
154,"Atmospheric circulation drives weather patterns across the globe over time.","Atmospheric circulation drives weather patterns across the globe over time.",1
155,"A parallax shift can measure distances to stars by viewing from two points.","A parallax shift can measure distances to stars by viewing from two points.",1
156,"The Center of Mass of an object is the average location of its matter.","Venus rotates in the opposite direction of most planets in the solar system.",0
157,"Volcanic magma solidifies into igneous rock when it cools on Earth's surface.","Apricots are a type of fruit that contains vitamin A.",0
158,"Malaria is spread by mosquitoes carrying a parasite that infects human blood cells.","Malaria is spread by mosquitoes carrying a parasite that infects human blood cells.",1
159,"Neon lights glow when electricity excites neon gas inside a tube, producing colored light.","Neon lights glow when electricity excites neon gas inside a tube, producing colored light.",1
160,"The Golden Ratio appears in art and architecture as an aesthetically pleasing proportion.","The Golden Ratio appears in art and architecture as an aesthetically pleasing proportion.",1
161,"Economic sanctions impose restrictions on trade to influence a country's behavior.","Economic sanctions impose restrictions on trade to influence a country's behavior.",1
162,"Electron orbitals describe regions around an atom where electrons are likely found.","Electron orbitals describe regions around an atom where electrons are likely found.",1
163,"Sublimation changes a substance directly from solid to gas without becoming liquid.","Sublimation changes a substance directly from solid to gas without becoming liquid.",1
164,"Blackbody radiation curves change shape with temperature in physics experiments.","Blackbody radiation curves change shape with temperature in physics experiments.",1
165,"The law of demand indicates that higher prices typically reduce the quantity demanded.","The law of demand indicates that higher prices typically reduce the quantity demanded.",1
166,"Blood typing is important to match donors and recipients for safe transfusion.","Blood typing is important to match donors and recipients for safe transfusion.",1
167,"The Richter scale is logarithmic, so each integer increase means ten times more energy.","The Richter scale is logarithmic, so each integer increase means ten times more energy.",1
168,"Worm gear sets reduce speed and increase torque in mechanical systems.","Worm gear sets reduce speed and increase torque in mechanical systems.",1
169,"Euclid's postulates form the basis of plane geometry in mathematics.","Euclid's postulates form the basis of plane geometry in mathematics.",1
170,"The jet stream is a high-altitude wind current that influences weather around the globe.","The jet stream is a high-altitude wind current that influences weather around the globe.",1
171,"The immune system uses antibodies to target and neutralize specific pathogens.","The immune system uses antibodies to target and neutralize specific pathogens.",1
172,"Compound interest grows savings faster than simple interest over time.","Compound interest grows savings faster than simple interest over time.",1
173,"Mitochondria generate energy for cells through the process of respiration.","Mitochondria generate energy for cells through the process of respiration.",1
174,"Fusion reactions in the Sun produce energy through nuclear processes in its core.","Fusion reactions in the Sun produce energy through nuclear processes in its core.",1
175,"Sociology theory examines societal institutions and their influence on human behavior.","Sociology theory examines societal institutions and their influence on human behavior.",1
176,"Air resistance can slow down falling objects depending on their shape and speed.","Air resistance can slow down falling objects depending on their shape and speed.",1
177,"Reinforcement learning is a technique where agents learn to act to maximize reward.","Reinforcement learning is a technique where agents learn to act to maximize reward.",1
178,"Black phosphorus is an allotrope used in some battery applications.","Periodic phenomena like tides repeat because of gravitational interactions.",0
179,"Recycling reduces waste by converting used materials into new products, conserving resources.","Recycling reduces waste by converting used materials into new products, conserving resources.",1
180,"The Great Wall of China is long, built to protect against invasions along China's northern border.","The Great Wall of China is long, built to protect against invasions along China's northern border.",1
181,"Inertia means an object at rest stays at rest unless an unbalanced force acts on it.","Inertia means an object at rest stays at rest unless an unbalanced force acts on it.",1
182,"Pluto was once classified as the ninth planet but is now a dwarf planet.","The Siberian tiger has a pattern of stripes that helps camouflage it in the forest.",0
183,"Acids taste sour and change blue litmus to red, according to chemistry class tests.","Acids taste sour and change blue litmus to red, according to chemistry class tests.",1
184,"Artificial intelligence algorithms can analyze large datasets to detect patterns.","Artificial intelligence algorithms can analyze large datasets to detect patterns.",1
185,"Prokaryotic cells do not have a nucleus, while eukaryotic cells have a nucleus.","Prokaryotic cells do not have a nucleus, while eukaryotic cells have a nucleus.",1
186,"Multicellular organisms are composed of many cells specialized to carry out different functions.","Multicellular organisms are composed of many cells specialized to carry out different functions.",1
187,"Newton's first law states that an object at rest stays at rest unless acted upon by an external force.","According to Newton's first law, a stationary object remains still unless a force acts on it.",1
188,"Angular momentum is conserved when no external torque acts on a rotating system.","Angular momentum is conserved when no external torque acts on a rotating system.",1
189,"DNA fingerprinting compares DNA patterns to identify individuals or biological samples.","DNA fingerprinting compares DNA patterns to identify individuals or biological samples.",1
190,"Halogens form salts when they react with metals in chemistry reactions.","Halogens form salts when they react with metals in chemistry reactions.",1
191,"The nervous system transmits signals via nerves to control the body, including reflex arcs.","The nervous system transmits signals via nerves to control the body, including reflex arcs.",1
192,"Quantum gravity remains a major unsolved problem in theoretical physics.","Quantum gravity remains a major unsolved problem in theoretical physics.",1
193,"Bilingual education teaches students in two languages to improve fluency in both.","The concept of utility represents satisfaction or value that consumers derive from goods.",0
194,"Kinetic energy depends on an object's mass and velocity according to classical physics.","Bioethics addresses ethical questions arising from biological research and medicine.",0
195,"Photosynthesis in plants also produces oxygen as a byproduct, which is vital for animal life.","Photosynthesis in plants also produces oxygen as a byproduct, which is vital for animal life.",1
196,"Continental drift was proposed by Wegener and involves continents moving over geologic time.","Continental drift was proposed by Wegener and involves continents moving over geologic time.",1
197,"Oxidation is the loss of electrons, often increasing the oxidation state of an atom.","Oxidation is the loss of electrons, often increasing the oxidation state of an atom.",1
198,"Local cultures include languages, foods, and traditions unique to a community.","Local cultures include languages, foods, and traditions unique to a community.",1
199,"Statistical mechanics connects microscopic motion of particles with macroscopic properties like temperature.","Statistical mechanics connects microscopic motion of particles with macroscopic properties like temperature.",1
200,"Reproductive isolation prevents gene flow between populations leading to speciation.","Reproductive isolation prevents gene flow between populations leading to speciation.",1
201,"Probability theory includes concepts like random variables, distributions, and expected value.","Probability theory includes concepts like random variables, distributions, and expected value.",1
202,"Watson and Crick used X-ray data to model the double-helix structure of DNA.","Watson and Crick used X-ray data to model the double-helix structure of DNA.",1
203,"Ultraviolet light has shorter wavelength than visible light and can damage skin cells.","Ultraviolet light has shorter wavelength than visible light and can damage skin cells.",1
204,"The International Space Station orbits Earth and provides a platform for science experiments in space.","The International Space Station orbits Earth and provides a platform for science experiments in space.",1
205,"Newton discovered gravity after an apple fell on his head in popular lore.","Newton discovered gravity after an apple fell on his head in popular lore.",1
206,"Minecraft worlds are generated with biomes and random terrain features.","The Battle of Waterloo in 1815 marked the end of Napoleon Bonaparte's military campaigns.",0
207,"Metrology is the science of measurement and its standard units in science.","Metrology is the science of measurement and its standard units in science.",1
208,"Mass and weight are different: weight depends on gravity while mass is amount of matter.","Mass and weight are different: weight depends on gravity while mass is amount of matter.",1
209,"Ohm's law relates current, voltage, and resistance in electrical circuits.","Ohm's law relates current, voltage, and resistance in electrical circuits.",1
210,"In optics, Snell's law describes how light bends when it enters a different medium.","In optics, Snell's law describes how light bends when it enters a different medium.",1
211,"Urbanization influences demographic patterns and resource demands in cities.","Urbanization influences demographic patterns and resource demands in cities.",1
212,"Double-entry bookkeeping records every transaction in two ledger accounts simultaneously.","Double-entry bookkeeping records every transaction in two ledger accounts simultaneously.",1
213,"The human skeletal system provides structure and support to the body through bones.","The human skeletal system provides structure and support to the body through bones.",1
214,"The cochlea in the inner ear converts sound vibrations into neural signals.","The cochlea in the inner ear converts sound vibrations into neural signals.",1
215,"Tectonic plates move over the mantle, leading to earthquakes and volcanic activity on Earth.","Tectonic plates move over the mantle, leading to earthquakes and volcanic activity on Earth.",1
216,"Microeconomics analyzes individual decision-making by consumers and firms in markets.","Microeconomics analyzes individual decision-making by consumers and firms in markets.",1
217,"Genome sequencing determines the exact order of nucleotides in an organism's DNA.","Genome sequencing determines the exact order of nucleotides in an organism's DNA.",1
218,"Socioeconomic factors like income and education influence human development and opportunities.","Socioeconomic factors like income and education influence human development and opportunities.",1
219,"Wastewater treatment removes contaminants from used water before releasing it into the environment.","Wastewater treatment removes contaminants from used water before releasing it into the environment.",1
220,"Schrödinger's cat is a thought experiment illustrating quantum superposition and measurement.","Schrödinger's cat is a thought experiment illustrating quantum superposition and measurement.",1
221,"Merrimac River is located in New England, flowing through Massachusetts and New Hampshire.","Merrimac River is located in New England, flowing through Massachusetts and New Hampshire.",1
222,"Radiation pressure from sunlight pushes dust particles in space causing phenomena like comet tails.","Chloroplasts in plant cells capture sunlight to make food through photosynthesis.",0
223,"Genomic imprinting influences gene expression depending on parent of origin.","Genomic imprinting influences gene expression depending on parent of origin.",1
224,"Lingua franca refers to a common language used among speakers of different native languages.","Lingua franca refers to a common language used among speakers of different native languages.",1
225,"Magnetic monopoles have never been observed experimentally, remaining hypothetical in physics.","Magnetic monopoles have never been observed experimentally, remaining hypothetical in physics.",1
226,"Cognitive load theory examines how working memory capacity affects learning and performance.","Cognitive load theory examines how working memory capacity affects learning and performance.",1
227,"Clouds form when water vapor condenses into liquid droplets on tiny particles in the air.","Clouds form when water vapor condenses into liquid droplets on tiny particles in the air.",1
228,"Robert Boyle formulated the law relating pressure and volume of a gas at constant temperature.","Robert Boyle formulated the law relating pressure and volume of a gas at constant temperature.",1
229,"Bipolar disorder involves swings between depressive lows and manic highs.","Bipolar disorder involves swings between depressive lows and manic highs.",1
230,"Beam radiation therapy aims beams of energy at a tumor to kill cancer cells.","Beam radiation therapy aims beams of energy at a tumor to kill cancer cells.",1
231,"Shakespeare wrote many plays and sonnets during the Elizabethan era in England.","Shakespeare wrote many plays and sonnets during the Elizabethan era in England.",1
232,"Recycled paper reduces waste and saves trees by reusing paper fibers.","Recycled paper reduces waste and saves trees by reusing paper fibers.",1
233,"Permaculture emphasizes agricultural ecosystems that are sustainable and self-sufficient.","Permaculture emphasizes agricultural ecosystems that are sustainable and self-sufficient.",1
234,"Leavening agents like yeast cause dough to rise by producing gas bubbles.","Leavening agents like yeast cause dough to rise by producing gas bubbles.",1
235,"Economic policy reforms can affect inflation rates and employment levels in an economy.","Economic policy reforms can affect inflation rates and employment levels in an economy.",1
236,"Bees pollinate flowers by carrying pollen between plants to help them reproduce.","Bees pollinate flowers by carrying pollen between plants to help them reproduce.",1
